id,full_text,amount,checked,contract_numbers,DepartmentId,filing_date,createdAt,updatedAt
69a6b96a-623b-434f-aff3-bda217e54104,"The Mason & Hanger Group Inc.,* Lexington, Kentucky, was awarded a $9,900,000 firm-fixed-price contract for general architect and engineering services. Bids were solicited via the Internet with eight received. Work locations and funding will be determined with each order, with an estimated completion date of May 16, 2023. U.S. Army Corps of Engineers, New York, New York, is the contracting activity (W912DS-18-D-0005).",9900000,t,,b58452cc-2990-41f2-9076-8d78dfb46fec,2018-05-21 20:00:00-04,2018-05-25 13:17:29.66-04,2018-05-25 18:45:23.918-04
497da318-61f4-4c27-8a01-7f60b55096d6,"V3Gate, Colorado Springs, Colorado, has been awarded an estimated $63,000,000 firm-fixed-price contract for the Air Force Standard Enterprise Resource Planning License Agreement. This contract provides for the standard set of Oracle commercial Enterprise Resource Planning licenses, Manufacturing Execution System module licenses and Oracle Software-as-a-Service licenses. Work will be performed in Colorado Springs, Colorado, and is expected to be complete by May 24, 2023, if all options are exercised by the government. Air Force Materiel Command, Maxwell Air Force Base - Gunter Annex, Alabama, is the contracting activity (NASA SEWP contract #NNG15SD27B; delivery order #FA8771-18-F0021).",63000000,t,,1eb98c97-72db-4723-881b-abd732de4314,2018-05-21 20:00:00-04,2018-05-25 13:17:34.344-04,2018-05-25 18:46:26.052-04
e264b766-7bf2-4e48-ade3-517be49746fe,"Lockheed Martin, Rotary and Mission Systems, Moorestown, New Jersey, is being awarded a $34,633,650 cost-plus-incentive-fee modification to a previously awarded contract (N00024-16-C-5102) to exercise options for Baseline 9 integration and delivery, capability improvements, Navy integrated fire control-counter air collateral and Baseline 9 engineering.  Work will be performed in Moorestown, New Jersey, and is expected to be completed by July 2019. Fiscal 2018 research, development, test and evaluation (Navy); and fiscal 2018 weapon procurement (Navy) funding in the amount of $5,391,451 will be obligated at time of award and will not expire at the end of the current fiscal year.  The Naval Sea Systems Command, Washington, District of Columbia, is the contracting activity.",34633650,t,,f2417820-c489-4636-8a8e-30502919da04,2018-05-23 20:00:00-04,2018-05-25 13:14:07.464-04,2018-05-25 18:44:44.049-04
01cb6a65-12d9-4c33-b306-d8ca807fa681,"SAIC, Columbus, Georgia, was awarded a $9,592,336 cost-plus-fixed-fee contract for maneuver battle lab support services. Bids were solicited via the Internet with three received. Work will be performed in Fort Benning, Georgia, with an estimated completion date of July 31, 2023. Fiscal 2018 operations and maintenance (Army) funds in the amount of $33,624 were obligated at the time of the award. U.S. Army Mission and Installation Contracting Command, Fort Eustis, Virginia is the contracting activity (W911SF-18-F-0032).",9592336,t,,b58452cc-2990-41f2-9076-8d78dfb46fec,2018-05-21 20:00:00-04,2018-05-25 13:17:30.572-04,2018-05-25 18:45:37.803-04
81a8b361-be65-40d2-9422-2b27bbf246d4,"PreTalen LTD, Dayton, Ohio, has been awarded a $23,741,397 cost-plus-fixed-fee, completion contract for Operational Multi-Domain Enhanced Global Navigation Satellite System applications research and development. This contract will concentrate on extending position navigation and time autonomous negotiator applying cognitive effects-based analysis, to control multiple global navigation satellite systems (e.g. GLONASS, BeiDou, and Galileo), their host platforms and expand the capability to automate the analysis of these platforms dependent on these signals. Work will be performed at Wright-Patterson Air Force Base, Ohio; and Dayton, Ohio, and is expected to be complete by Aug. 25, 2023. Fiscal 2018 research and development funds in the amount of $137,000 are being obligated at the time of award. Air Force Research Laboratory, Wright-Patterson Air Force Base, Ohio, is the contracting activity. (FA8650-18-C-1650)",23741397,t,,1eb98c97-72db-4723-881b-abd732de4314,2018-05-23 20:00:00-04,2018-05-25 13:14:51.852-04,2018-05-25 18:46:57.697-04
2e6b1824-b5a3-4fd2-9033-1c17ed0239cf,"KL House Construction Co.,* Albuquerque, New Mexico, was awarded a $53,856,000 firm-fixed-price contract for design and construction of a Special Operations Forces squadron operations facility and Special Tactics squadron operational facilities at Cannon Air Force Base, New Mexico. Bids were solicited via the Internet with four received. Work will be performed in Cannon Air Force Base, New Mexico, with an estimated completion date of July 24, 2020. Fiscal 2015 and 2016 military construction funds in the amount of $53,856,000 were obligated at the time of the award. U.S. Army Corps of Engineers, Albuquerque, New Mexico, is the contracting activity (W912PP-18-C-0014).",53856000,f,,b58452cc-2990-41f2-9076-8d78dfb46fec,2018-05-23 20:00:00-04,2018-05-25 13:14:27.686-04,2018-05-25 13:14:27.69-04
4ef9464e-68ec-4492-89c1-fd54d08927f7,"Skookum Educational Programs, Bremerton, Washington, was awarded a $34,340,572 firm-fixed-price contract for custodial services. One bid was solicited with one bid received. Work locations and funding will be determined with each order, with an estimated completion date of Feb. 28, 2023. U.S. Army Mission and Installation Contracting Command, Joint Base Lewis-McChord, Washington, is the contracting activity (W911S8-18-D-0004).",34340572,f,,b58452cc-2990-41f2-9076-8d78dfb46fec,2018-05-23 20:00:00-04,2018-05-25 13:14:32.454-04,2018-05-25 13:14:32.467-04
c05256c4-a66c-49a7-9f24-2ca3e69f52f8,"Motorola Solutions Inc., Linthicum Heights, Maryland, was awarded a $19,370,000 firm-fixed-price contract to upgrade, expand and connect sites to the current Joint Japan Land Mobile Radio system and upgrade the Army backup core infrastructure in Japan. Bids were solicited via the Internet with one received. Work locations and funding will be determined with each order, with an estimated completion date of May 14, 2023. U.S. Army Contracting Command, Rock Island Arsenal, Illinois, is the contracting activity (W52P1J-18-D-0036).",19370000,f,,b58452cc-2990-41f2-9076-8d78dfb46fec,2018-05-23 20:00:00-04,2018-05-25 13:14:36.463-04,2018-05-25 13:14:36.468-04
841753e4-6de0-481a-826d-26e7e1488d9d,"LS Black Constructors Inc., St. Paul, Minnesota, was awarded a $12,384,200 firm-fixed-price contract for construction of annual training and mobilization dining facility at Fort McCoy, Wisconsin. Bids were solicited via the Internet with three received. Work will be performed in Fort McCoy, Wisconsin, with an estimated completion date of Aug. 9, 2019. Fiscal 2014 and 2018 military construction; and operations and maintenance (Army) funds in the combined amount of $12,384,200 were obligated at the time of the award. U.S. Army Corps of Engineers, Louisville, Kentucky, is the contracting activity (W912QR-18-C-0019).",12384200,f,,b58452cc-2990-41f2-9076-8d78dfb46fec,2018-05-23 20:00:00-04,2018-05-25 13:14:41.23-04,2018-05-25 13:14:41.246-04
cf335a44-7207-46f7-9686-32192d308b2b,"Ocenco Inc.,* Pleasant Prairie, Wisconsin, has been awarded a maximum $28,507,500 firm-fixed-price, indefinite-delivery/indefinite-quantity contract for emergency escape breathing device trainers, and new and requalified emergency escape breathing device breathing apparatuses. This is a three-year base contract with two one-year option periods. This was a sole-source acquisition using justification 10 U.S. Code 2304(c)(1), as stated in Federal Acquisition Regulation 6.302-1. Location of performance is Wisconsin, with a May 23, 2021, performance completion date. Using military service is Navy. Type of appropriation is fiscal 2018 through 2021 Navy working capital funds. The contracting activity is Defense Logistics Agency Land and Maritime, Mechanicsburg, Pennsylvania (SPRMM1-18-D-DN01).",28507500,f,,5bb902dc-519b-4b26-842e-c9677449c0a1,2018-05-23 20:00:00-04,2018-05-25 13:14:43.984-04,2018-05-25 13:14:43.992-04
